Theta,Phi,Psi,Px,Py,Pz,ActuatorLengths_1,ActuatorLengths_2,ActuatorLengths_3,ActuatorLengths_4,ActuatorLengths_5,ActuatorLengths_6
-45,-45,15,1.5,-0.5,1.5,3.901308453,2.910160995,4.890799314,4.722991468,3.205962991,4.430807999
-45,-45,15,1.5,-0.5,5.5,7.657803305,5.912641002,5.60566351,5.708852211,6.396930139,8.172638823
-45,-45,15,1.5,-0.5,9.5,11.88335941,9.939199083,8.737490749,8.719427311,10.1948406,12.13525564
-45,-45,15,1.5,1.5,-2.5,2.483504897,2.868334344,6.34814514,6.481580961,4.714945385,3.998801075
-45,-45,15,1.5,1.5,1.5,4.41130255,1.576292742,3.887828336,4.620241067,4.42640302,5.517429983
-45,-45,15,1.5,1.5,5.5,8.01921691,5.172415998,4.817620063,5.557221467,6.927811718,8.675502407
-45,-45,15,1.5,1.5,9.5,11.54753998,9.351785688,7.912383484,8.685429954,10.69913748,12.53641848
-45,-45,45,-2.5,-2.5,-2.5,6.10399598,6.580887511,7.14370748,6.188747674,2.599351052,4.001664733
-45,-45,45,-2.5,-2.5,1.5,7.02836345,5.993447008,5.562793397,4.195805266,2.102075727,5.372513782
-45,-45,45,-2.5,-2.5,5.5,10.08012151,7.688107095,6.262658644,5.213198876,5.799539717,8.814543305
-45,-45,45,-2.5,-2.5,9.5,13.14715657,10.92069899,9.117598493,8.540189141,9.91740702,12.39173357
-45,-45,45,-2.5,-0.5,-2.5,6.20104866,5.755585635,6.26832591,5.224862464,2.495771574,4.539908891
-45,-45,45,-2.5,-0.5,1.5,6.927110803,5.116163229,3.604059869,2.29896996,1.993742552,5.898906573
-45,-45,45,-2.5,-0.5,5.5,9.605656626,7.20276707,4.725026337,4.079242687,5.722272602,9.121552438
-45,-45,45,-2.5,-0.5,9.5,13.13403349,10.75306396,7.944659024,7.69277213,9.592482454,12.40360037
-45,-45,45,-2.5,1.5,-2.5,6.753654863,5.358975733,5.215574409,4.657930986,3.783454833,5.844939131
-45,-45,45,-2.5,1.5,1.5,7.756281305,4.783084038,1.962804127,1.190841549,3.400568471,6.862439986
-45,-45,45,-2.5,1.5,5.5,9.893696294,6.88206887,3.51992782,3.527058505,6.379337183,9.72668431
-45,-45,45,-2.5,1.5,9.5,13.11409349,10.49012025,7.410395246,7.435011779,10.32996794,13.02329188
-45,-45,45,-0.5,-2.5,-2.5,4.169076195,5.447844448,7.331424666,6.725816094,3.027587927,1.893121574
-45,-45,45,-0.5,-2.5,1.5,5.405629638,4.743407323,5.595306768,4.967418465,2.633271392,4.217229929
-45,-45,45,-0.5,-2.5,5.5,8.622221927,6.658195314,6.161217864,5.891059315,5.970316868,8.058367465
-45,-45,45,-0.5,-2.5,9.5,12.26419713,10.71000373,8.886496509,8.876044539,9.679267486,11.91604951
-45,-45,45,-0.5,-0.5,-2.5,4.048128086,4.231456585,6.058146719,5.90094234,2.884372207,2.934051733
-45,-45,45,-0.5,-0.5,1.5,5.621152151,3.579493882,3.585140045,3.59833117,2.585234554,4.847953823
-45,-45,45,-0.5,-0.5,5.5,8.597283306,6.261495164,4.574224516,4.780056628,6.06981521,8.473553192
-45,-45,45,-0.5,-0.5,9.5,12.35061525,9.88760912,8.083407829,8.345315021,9.817606738,12.40156974
-45,-45,45,-0.5,1.5,-2.5,5.028797951,3.767595281,5.019589716,5.569092617,3.972381702,4.751986241
-45,-45,45,-0.5,1.5,1.5,6.092060864,2.845143794,1.83598286,3.060491414,3.799285698,6.199260445
-45,-45,45,-0.5,1.5,5.5,9.275087015,5.810688613,3.476745791,4.422779225,6.67167782,9.60839557
-45,-45,45,-0.5,1.5,9.5,12.8047,9.504850105,7.423043262,7.815441336,10.03642262,12.92690763
-45,-45,45,1.5,-2.5,-2.5,2.238502533,4.801697812,7.967584786,7.949411783,4.494540867,0.399071702
-45,-45,45,1.5,-2.5,1.5,4.302975454,4.258532316,6.197870716,6.267985386,4.168681181,3.846560014
-45,-45,45,1.5,-2.5,5.5,7.993279926,6.602570793,6.891138517,7.195958007,6.81623172,7.791810615
-45,-45,45,1.5,-2.5,9.5,12.0028408,9.744045662,9.347080977,9.813616006,10.34140594,11.96033464
-45,-45,45,1.5,-0.5,-2.5,2.265210374,3.318516123,6.587098899,7.064520399,4.333594324,2.342185981
-45,-45,45,1.5,-0.5,1.5,4.260408517,2.26439735,4.473417243,5.371780562,4.054022895,4.576482344
-45,-45,45,1.5,-0.5,5.5,7.84537655,5.667657273,5.510574163,6.340695498,6.876640596,8.295619386
-45,-45,45,1.5,-0.5,9.5,11.81851495,9.553410193,8.221181743,9.303877418,10.2568232,11.72481374
-45,-45,45,1.5,1.5,-2.5,3.709038113,2.810440351,5.849238288,6.767347089,5.059239523,4.143086785
-45,-45,45,1.5,1.5,1.5,5.163522089,1.410300931,3.280029913,5.072516424,4.822430568,5.755483688
-45,-45,45,1.5,1.5,5.5,8.592385662,5.353865926,4.371394209,5.812929523,7.298927511,9.022256489
-45,-45,45,1.5,1.5,9.5,12.35889962,9.298577411,7.668839025,8.958668317,10.56946442,12.43489133
-45,-15,-45,-2.5,-2.5,-2.5,7.226376374,8.081828083,6.71983242,3.287882704,3.432309042,5.579722699
-45,-15,-45,-2.5,-2.5,1.5,7.404881168,7.218115736,5.027184127,0.974303999,4.361360054,6.538431572
-45,-15,-45,-2.5,-2.5,5.5,9.219543143,8.086643851,6.169676263,4.843647746,7.653294612,9.344334907
-45,-15,-45,-2.5,-2.5,9.5,12.25184437,10.99931099,9.042411663,8.499967866,11.27994149,12.92495162
-45,-15,-45,-2.5,-0.5,-2.5,6.051672584,6.765111237,5.457079976,3.768522712,4.812102748,5.955569917
-45,-15,-45,-2.5,-0.5,1.5,6.311225422,5.367490077,2.924134408,1.779731828,5.647256453,6.880483172
-45,-15,-45,-2.5,-0.5,5.5,8.758323213,6.749340083,4.43378164,5.090984425,8.361888795,9.507213801
-45,-15,-45,-2.5,-0.5,9.5,11.73854287,9.731410993,7.867170406,8.743458318,11.89877256,13.34866479
